city,district,rooms,area,price
Almaty,Ауэзовский р-н,3,76.0,47000000
Almaty,Наурызбайский р-н,2,42.0,25500000
Almaty,Алатауский р-н,2,52.6,24000000
Almaty,Алмалинский р-н,3,61.3,49300000
Almaty,Жетысуский р-н,3,93.0,52000000
Almaty,Жетысуский р-н,3,81.0,61500000
Almaty,Алмалинский р-н,2,95.0,54000000
Almaty,Наурызбайский р-н,2,67.0,35500000
Almaty,Медеуский р-н,2,85.0,75000000
Almaty,Жетысуский р-н,3,93.0,52000000
Almaty,Жетысуский р-н,3,81.0,61500000
Almaty,Алмалинский р-н,2,95.0,54000000
Almaty,Наурызбайский р-н,2,67.0,35500000
Almaty,Медеуский р-н,2,85.0,75000000
Almaty,Алатауский р-н,1,40.0,27500000
Almaty,Ауэзовский р-н,3,72.0,52500000
Almaty,Алмалинский р-н,3,63.0,39990000
Almaty,Жетысуский р-н,3,81.0,65000000
Almaty,Турксибский р-н,2,51.41,36038410
Almaty,Алатауский р-н,2,44.58,34237440
Almaty,Ауэзовский р-н,1,37.0,31000000
Almaty,Наурызбайский р-н,2,56.0,39900000
Almaty,Алмалинский р-н,2,55.7,50000000
Almaty,Ауэзовский р-н,3,58.3,45000000
Almaty,Алмалинский р-н,2,44.7,31000000
Almaty,Бостандыкский р-н,3,64.0,69999999
Almaty,Алмалинский р-н,3,78.0,53000000
Almaty,Бостандыкский р-н,3,102.6,86000000
Almaty,Наурызбайский р-н,2,48.4,33000000
Almaty,Алмалинский р-н,2,69.43,83316000
Almaty,Медеуский р-н,1,45.39,43120500
Almaty,Турксибский р-н,3,89.6,47000000
Almaty,Алатауский р-н,3,99.6,74000000
Almaty,Ауэзовский р-н,2,41.0,24500000
Almaty,Ауэзовский р-н,2,80.9,58000000
Almaty,Бостандыкский р-н,3,123.54,103279440
Almaty,Наурызбайский р-н,3,89.5,50000000
Almaty,Алмалинский р-н,1,48.4,52000000
Almaty,Бостандыкский р-н,3,96.0,65500000
Almaty,Медеуский р-н,2,56.14,37000000
Almaty,Бостандыкский р-н,2,58.4,43500000
Almaty,Наурызбайский р-н,4,160.2,208260000
Almaty,Медеуский р-н,3,80.0,80000000
Almaty,Ауэзовский р-н,2,40.0,28000000
Almaty,Наурызбайский р-н,3,93.0,95000000
Almaty,Алмалинский р-н,2,82.0,99500000
Almaty,Бостандыкский р-н,2,92.96,81432960
Almaty,Турксибский р-н,3,97.0,50000000
Almaty,Наурызбайский р-н,1,32.0,21500000
Almaty,Ауэзовский р-н,2,50.0,39450000
Almaty,Алатауский р-н,3,95.0,43000000
Almaty,Жетысуский р-н,3,76.2,33000000
Almaty,Ауэзовский р-н,1,23.0,17500000
Almaty,Медеуский р-н,4,197.0,200000000
Almaty,Алмалинский р-н,2,74.24,89088000
Almaty,Алатауский р-н,3,60.0,29500000
Almaty,Наурызбайский р-н,1,36.0,32900000
Almaty,Турксибский р-н,3,109.0,54000000
Almaty,Бостандыкский р-н,3,92.0,81000000
Almaty,Алатауский р-н,3,55.0,36500000
Almaty,Бостандыкский р-н,1,31.0,25300000
Almaty,Бостандыкский р-н,2,68.0,58000000
Almaty,Наурызбайский р-н,1,40.0,30500000
Almaty,Медеуский р-н,5,285.4,214050000
Almaty,Наурызбайский р-н,2,56.0,25500000
Almaty,Наурызбайский р-н,1,28.6,18500000
Almaty,Бостандыкский р-н,3,67.0,64000000
Almaty,Медеуский р-н,4,170.0,250000000
Almaty,Алатауский р-н,4,126.48,98274960
Almaty,Наурызбайский р-н,3,105.74,139576800
Almaty,Турксибский р-н,3,78.63,30272550
Almaty,Ауэзовский р-н,3,102.0,78540000
Almaty,Бостандыкский р-н,2,54.0,53500000
Almaty,Наурызбайский р-н,3,63.0,43000000
Almaty,Бостандыкский р-н,1,34.0,34000000
Almaty,Алатауский р-н,1,45.85,23000000
Almaty,Наурызбайский р-н,2,68.0,51000000
Almaty,Алмалинский р-н,2,62.0,57000000
Almaty,Бостандыкский р-н,3,110.0,129000000
Almaty,Наурызбайский р-н,3,86.0,49500000
Almaty,Бостандыкский р-н,1,38.0,39700000
Almaty,Жетысуский р-н,2,52.0,36500000
Almaty,Медеуский р-н,3,103.29,173940360
Almaty,Наурызбайский р-н,3,84.5,60000000
Almaty,Турксибский р-н,2,64.5,25155000
Almaty,Алатауский р-н,1,30.0,17000000
Almaty,Алатауский р-н,2,70.0,35000000
Almaty,Наурызбайский р-н,1,30.09,25500000
Almaty,Ауэзовский р-н,3,67.0,37900000
Almaty,Ауэзовский р-н,2,56.6,44500000
Almaty,Ауэзовский р-н,3,70.0,56000000
Almaty,Медеуский р-н,2,87.92,70336000
Almaty,Медеуский р-н,2,102.93,173539980
Almaty,Бостандыкский р-н,2,62.6,47000000
Almaty,Турксибский р-н,2,46.0,25890000
Almaty,Жетысуский р-н,1,40.0,27500000
Almaty,Алатауский р-н,1,45.1,26600000
Almaty,Турксибский р-н,3,80.1,40000000
Almaty,Медеуский р-н,2,62.0,36000000
Almaty,Ауэзовский р-н,3,65.0,35700000
Almaty,Ауэзовский р-н,2,60.5,71000000
Almaty,Наурызбайский р-н,3,84.2,93000000
Almaty,Турксибский р-н,2,71.0,29900000
Almaty,Бостандыкский р-н,4,97.0,69000000
Almaty,Ауэзовский р-н,2,70.0,47000000
Almaty,Бостандыкский р-н,3,72.0,75000000
Almaty,Алатауский р-н,3,91.0,65000000
Almaty,Турксибский р-н,1,36.46,18959200
Almaty,Медеуский р-н,2,82.0,47500000
Almaty,Бостандыкский р-н,2,58.0,52000000
Almaty,Жетысуский р-н,1,27.0,15500000
Almaty,Ауэзовский р-н,2,80.0,46000000
Almaty,Алмалинский р-н,2,50.0,43000000
Almaty,Жетысуский р-н,2,62.61,50651490
Almaty,Unknown,1,40.5,18000000
Almaty,Бостандыкский р-н,2,49.9,34000000
Almaty,Бостандыкский р-н,3,84.4,78500000
Almaty,Наурызбайский р-н,2,48.0,23000000
Almaty,Алатауский р-н,1,55.3,34500000
Almaty,Жетысуский р-н,3,92.2,56500000
Almaty,Алатауский р-н,1,50.0,27700000
Almaty,Бостандыкский р-н,3,121.0,79500000
Almaty,Медеуский р-н,2,63.26,69586000
